split,index,dice_score
train_fold1,0,0.9452
train_fold1,1,0.8462
train_fold1,2,0.882
train_fold1,3,0.9025
train_fold1,4,0.9138
train_fold1,5,0.9532
train_fold1,6,0.9375
train_fold1,7,0.9371
train_fold1,8,0.9352
train_fold1,9,0.87
train_fold1,10,0.8847
train_fold1,11,0.9458
train_fold1,12,0.7867
train_fold1,13,0.954
train_fold1,14,0.9357
train_fold1,15,0.6176
train_fold1,16,0.8986
train_fold1,17,0.9522
train_fold1,18,0.0
train_fold1,19,0.9604
train_fold1,20,0.9665
train_fold1,21,0.7879
train_fold1,22,0.9182
train_fold1,23,0.9018
train_fold1,24,0.8116
train_fold1,25,0.8066
train_fold1,26,0.6393
train_fold1,27,0.6828
train_fold1,28,0.8194
train_fold1,29,0.9167
train_fold1,30,0.8964
train_fold1,31,0.9268
train_fold1,32,0.9524
train_fold1,33,0.0
train_fold1,34,0.9277
train_fold1,35,0.9607
train_fold1,36,0.8637
train_fold1,37,0.9409
train_fold1,38,0.9654
train_fold1,39,0.4423
train_fold1,40,0.8338
train_fold1,41,0.7427
train_fold1,42,0.9464
train_fold1,43,0.5887
train_fold1,44,0.9193
train_fold1,45,0.9481
train_fold1,46,0.9511
train_fold1,47,0.9254
train_fold1,48,0.8673
train_fold1,49,0.9315
train_fold1,50,0.9188
train_fold1,51,0.8602
train_fold1,52,0.9077
train_fold1,53,0.8707
train_fold1,54,0.9032
train_fold1,55,0.8578
train_fold1,56,0.8344
train_fold1,57,0.9006
train_fold1,58,0.9101
train_fold1,59,0.9274
train_fold1,60,0.8308
train_fold1,61,0.9643
train_fold1,62,0.0
train_fold1,63,0.8743
train_fold1,64,0.8849
train_fold1,65,0.2338
train_fold1,66,0.903
train_fold1,67,0.0
train_fold1,68,0.8761
train_fold1,69,0.8879
train_fold1,70,0.0
train_fold1,71,0.9009
train_fold1,72,0.961
train_fold1,73,0.917
train_fold1,74,0.9167
train_fold1,75,0.8731
train_fold1,76,0.8852
train_fold1,77,0.9142
train_fold1,78,0.8938
train_fold1,79,0.6913
train_fold1,80,0.9123
train_fold1,81,0.9134
train_fold1,82,0.9123
train_fold1,83,0.9025
train_fold1,84,0.5028
train_fold1,85,0.956
train_fold1,86,0.0035
train_fold1,87,0.0
train_fold1,88,0.7857
train_fold1,89,0.8789
train_fold1,90,0.9587
train_fold1,91,0.7609
train_fold1,92,0.9592
train_fold1,93,0.9211
train_fold1,94,0.9411
train_fold1,95,0.8805
train_fold1,96,0.8671
train_fold1,97,0.9241
train_fold1,98,0.8182
train_fold1,99,0.6255
train_fold1,100,0.9309
train_fold1,101,0.9463
train_fold1,102,0.9244
train_fold1,103,0.9538
train_fold1,104,0.9096
train_fold1,105,0.9113
train_fold1,106,0.8939
train_fold1,107,0.8667
train_fold1,108,0.6651
train_fold1,109,0.668
train_fold1,110,0.0
train_fold1,111,0.0
train_fold1,112,0.6982
train_fold1,113,0.9681
train_fold1,114,0.7308
train_fold1,115,0.5904
train_fold1,116,0.9308
train_fold1,117,0.8408
train_fold1,118,0.8917
train_fold1,119,0.7817
train_fold1,120,0.9522
train_fold1,121,0.929
train_fold1,122,0.9318
train_fold1,123,0.9528
train_fold1,124,0.9121
train_fold1,125,0.3354
train_fold1,126,0.8554
train_fold1,127,0.8996
train_fold1,128,0.7932
train_fold1,129,0.9155
train_fold1,130,0.9077
train_fold1,131,0.9593
train_fold1,132,0.9018
train_fold1,133,0.8503
train_fold1,134,0.8203
train_fold1,135,0.1086
train_fold1,136,0.8998
train_fold1,137,0.7919
train_fold1,138,0.8087
train_fold1,139,0.7141
train_fold1,140,0.946
train_fold1,141,0.7309
train_fold1,142,0.8063
train_fold1,143,0.8828
